"","ROI_185","ROI_186","ROI_187","ROI_188","ROI_189","ROI_190","ROI_191","ROI_192","ROI_193","ROI_194","ROI_195","ROI_196","ROI_197","ROI_198","ROI_199","ROI_200","ROI_201","ROI_202","ROI_203","ROI_204","ROI_205","ROI_206","ROI_207","ROI_208","ROI_209","ROI_210","ROI_211","ROI_212","ROI_213","ROI_214","ROI_215","ROI_216","ROI_217","ROI_218","ROI_219","ROI_220","ROI_221","ROI_222","ROI_223","ROI_224","ROI_225","ROI_226","ROI_227","ROI_228","ROI_229","ROI_230","ROI_231","ROI_232","ROI_233","ROI_234"
"ROI_214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232637459536464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206501152629336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_223",0,0,0,0.114178562271739,0.10920115158735,0.131823835761626,0.100588565949,0.0936253121624129,0,0,0,0,0,0,0,0,0,0.110356853352595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28403498356366,0.132757632811997,0,0.0816412702104647,0.0969054589989375,0,0,0,0,0,0.12951247459416,0.117431713465973
"ROI_224",0,0.085366160676229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920657697624961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133946697983636,0.246286825642546,0,0,0,0,0,0,0,0,0,0
"ROI_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853763456873328,0,0,0,0,0,0,0,0,0,0,0
"ROI_227",0,0,0,0.0953888969009871,0.1106775714309,0.0882229968200551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100714803104819,0,0,0,0.228046120427105,0,0,0,0,0.11119007121255,0.10722161622134,0.100284959906981
"ROI_228",0.0615463998553003,0.0610753330653741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196903178920918,0,0,0,0,0,0
"ROI_229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224120050322278,0,0,0,0,0
"ROI_230",0.082530093006344,0.104282107077949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668886179617961,0.0775653610747467,0.0946203525628744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18407187174285,0,0,0,0
"ROI_231",0,0,0,0,0.109745367099228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177141102634301,0.109484784329212,0.102285250870664,0
"ROI_232",0,0,0,0,0.0860953409592212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113871447617643,0,0,0,0.107721235755406,0.1683652504703,0,0
"ROI_233",0,0,0,0.146204341102218,0.170164163328534,0.103072538695787,0,0.10392084309805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126063597630639,0,0,0,0.11225581695457,0,0,0,0.105766620662691,0,0.250843748965204,0.124260233559337
"ROI_234",0,0,0,0.105873313018386,0.11287439483628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122996772364312,0,0,0,0.0927442292981485,0,0,0,0,0,0.125304843252246,0.210319802427972
